"QW","S - Comp","NGD","WGD","Isc","Jsc (mA/cm2","Voc (V","FF (%","Efficiency (%"
"50","0.2","10000000000000","0.25","8.33E-10","41.63","0.762","85.18","27.04"
"70","0.2","10000000000000","0.25","8.77E-10","43.84","0.755","84.76","28.06"
"100","0.2","10000000000000","0.25","9.20E-10","46.01","0.747","84.43","29.02"
"2","0.2","100000000000000","0.25","4.06E-10","20.32","0.849","87.09","15.02"
"3","0.2","100000000000000","0.25","4.34E-10","21.68","0.835","86.23","15.60"
"4","0.2","100000000000000","0.25","4.61E-10","23.07","0.823","86.38","16.41"
"5","0.2","100000000000000","0.25","4.86E-10","24.31","0.818","85.70","17.05"
"10","0.2","100000000000000","0.25","5.85E-10","29.25","0.797","85.40","19.92"
"20","0.2","100000000000000","0.25","6.94E-10","34.69","0.779","84.82","22.92"
"30","0.2","100000000000000","0.25","7.58E-10","37.91","0.770","84.80","24.74"
"50","0.2","100000000000000","0.25","8.33E-10","41.63","0.760","83.86","26.51"
"70","0.2","100000000000000","0.25","8.77E-10","43.84","0.750","83.58","27.49"
"100","0.2","100000000000000","0.25","9.20E-10","46.00","0.743","82.58","28.23"
"2","0.2","1000000000000000","0.25","4.05E-10","20.23","0.846","87.02","14.90"
"3","0.2","1000000000000000","0.25","4.32E-10","21.60","0.835","86.23","15.54"
"4","0.2","1000000000000000","0.25","4.60E-10","23.00","0.823","86.37","16.35"
"5","0.2","1000000000000000","0.25","4.85E-10","24.24","0.818","85.71","17.00"
"10","0.2","1000000000000000","0.25","5.84E-10","29.18","0.782","82.78","18.89"
"20","0.2","1000000000000000","0.25","6.93E-10","34.64","0.761","82.05","21.62"
"30","0.2","1000000000000000","0.25","7.57E-10","37.86","0.745","81.27","22.91"
"50","0.2","1000000000000000","0.25","8.32E-10","41.59","0.727","80.14","24.24"
"70","0.2","1000000000000000","0.25","8.76E-10","43.80","0.717","78.95","24.80"
"100","0.2","1000000000000000","0.25","9.19E-10","45.96","0.706","77.44","25.11"
"2","0.2","1.0E+16","0.25","3.91E-10","19.53","0.827","86.42","13.96"
"3","0.2","1.0E+16","0.25","4.19E-10","20.93","0.834","86.29","15.05"
"4","0.2","1.0E+16","0.25","4.47E-10","22.37","0.822","86.31","15.88"
"5","0.2","1.0E+16","0.25","4.73E-10","23.65","0.817","85.74","16.57"
"10","0.2","1.0E+16","0.25","5.72E-10","28.62","0.713","78.98","16.12"
"20","0.2","1.0E+16","0.25","6.84E-10","34.18","0.688","78.63","18.48"
"30","0.2","1.0E+16","0.25","7.49E-10","37.46","0.666","78.21","19.51"
"50","0.2","1.0E+16","0.25","8.25E-10","41.26","0.645","77.27","20.56"
"70","0.2","1.0E+16","0.25","8.70E-10","43.49","0.633","76.28","21.00"
"100","0.2","1.0E+16","0.25","9.13E-10","45.65","0.623","74.53","21.18"
"2","0.2","1.0E+17","0.25","3.41E-10","17.06","0.773","85.10","11.22"
"3","0.2","1.0E+17","0.25","3.67E-10","18.34","0.728","84.00","11.22"
"4","0.2","1.0E+17","0.25","4.11E-10","20.53","0.701","82.66","11.89"
"5","0.2","1.0E+17","0.25","4.34E-10","21.71","0.812","85.72","15.12"
"10","0.2","1.0E+17","0.25","5.28E-10","26.40","0.613","74.45","12.04"
"20","0.2","1.0E+17","0.25","6.51E-10","32.53","0.600","75.02","14.64"
"30","0.2","1.0E+17","0.25","7.25E-10","36.24","0.601","75.49","16.43"
"50","0.2","1.0E+17","0.25","8.01E-10","40.05","0.571","73.60","16.84"
"70","0.2","1.0E+17","0.25","8.33E-10","41.65","0.563","71.41","16.75"
"100","0.2","1.0E+17","0.25","8.10E-10","40.49","0.553","67.60","15.14"
"2","0.2","1.0E+18","0.25","2.84E-10","14.20","0.661","81.85","7.68"
"3","0.2","1.0E+18","0.25","3.03E-10","15.16","0.560","76.48","6.49"
"4","0.2","1.0E+18","0.25","3.78E-10","18.88","0.716","78.66","10.64"
"5","0.2","1.0E+18","0.25","4.07E-10","20.34","0.744","78.80","11.93"
"10","0.2","1.0E+18","0.25","4.84E-10","24.20","0.528","71.74","9.17"
"20","0.2","1.0E+18","0.25","6.21E-10","31.04","0.544","71.87","12.13"
"30","0.2","1.0E+18","0.25","6.62E-10","33.12","0.538","68.56","12.22"
"50","0.2","1.0E+18","0.25","5.03E-10","25.16","0.504","61.53","7.81"
"70","0.2","1.0E+18","0.25","3.10E-10","15.51","0.484","59.72","4.48"
"100","0.2","1.0E+18","0.25","1.47E-10","7.33","0.455","59.18","1.97"
"2","0.2","1E+19","0.25","2.84E-10","14.22","0.459","65.58","4.28"
"3","0.2","1E+19","0.25","3.18E-10","15.92","0.460","66.23","4.85"
"4","0.2","1E+19","0.25","3.67E-10","18.33","0.488","67.73","6.06"
"5","0.2","1E+19","0.25","3.97E-10","19.86","0.649","77.01","9.92"
"10","0.2","1E+19","0.25","4.51E-10","22.55","0.586","72.75","9.62"
"20","0.2","1E+19","0.25","3.07E-10","15.37","0.466","57.18","4.10"
"30","0.2","1E+19","0.25","1.64E-10","8.18","0.437","56.10","2.01"
"50","0.2","1E+19","0.25","6.48E-11","3.24","0.393","55.36","0.71"
"70","0.2","1E+19","0.25","3.34E-11","1.67","0.345","51.60","0.30"
"100","0.2","1E+19","0.25","2.01E-11","1.00","0.321","50.24","0.16"
"2","0.4","1000000000000","0.05","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","1000000000000","0.05","4.24E-10","21.21","0.911","87.49","16.90"
"4","0.4","1000000000000","0.05","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","1000000000000","0.05","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","1000000000000","0.05","5.63E-10","28.17","0.876","87.30","21.54"
"20","0.4","1000000000000","0.05","6.69E-10","33.45","0.861","86.91","25.02"
"30","0.4","1000000000000","0.05","7.31E-10","36.57","0.850","86.99","27.04"
"50","0.4","1000000000000","0.05","8.04E-10","40.18","0.840","86.51","29.21"
"70","0.4","1000000000000","0.05","8.46E-10","42.32","0.831","86.63","30.47"
"100","0.4","1000000000000","0.05","8.89E-10","44.43","0.823","86.45","31.63"
"2","0.4","10000000000000","0.05","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","10000000000000","0.05","4.26E-10","21.28","0.910","87.63","16.96"
"4","0.4","10000000000000","0.05","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","10000000000000","0.05","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","10000000000000","0.05","5.63E-10","28.17","0.876","87.30","21.54"
"20","0.4","10000000000000","0.05","6.69E-10","33.45","0.861","86.91","25.02"
"30","0.4","10000000000000","0.05","7.31E-10","36.57","0.850","86.99","27.04"
"50","0.4","10000000000000","0.05","8.04E-10","40.18","0.840","86.51","29.21"
"70","0.4","10000000000000","0.05","8.46E-10","42.32","0.831","86.63","30.47"
"100","0.4","10000000000000","0.05","8.89E-10","44.43","0.823","86.45","31.63"
"2","0.4","100000000000000","0.05","3.98E-10","19.91","0.925","88.12","16.22"
"3","0.4","100000000000000","0.05","4.24E-10","21.20","0.911","87.49","16.90"
"4","0.4","100000000000000","0.05","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","100000000000000","0.05","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","100000000000000","0.05","5.63E-10","28.17","0.876","87.30","21.54"
"20","0.4","100000000000000","0.05","6.69E-10","33.45","0.861","86.90","25.02"
"30","0.4","100000000000000","0.05","7.31E-10","36.57","0.850","86.99","27.04"
"50","0.4","100000000000000","0.05","8.04E-10","40.18","0.840","86.49","29.21"
"70","0.4","100000000000000","0.05","8.46E-10","42.32","0.831","86.62","30.46"
"100","0.4","100000000000000","0.05","8.89E-10","44.43","0.823","86.44","31.62"
"2","0.4","1000000000000000","0.05","3.98E-10","19.90","0.925","88.11","16.21"
"3","0.4","1000000000000000","0.05","4.24E-10","21.19","0.911","87.49","16.89"
"4","0.4","1000000000000000","0.05","4.49E-10","22.45","0.902","87.31","17.68"
"5","0.4","1000000000000000","0.05","4.76E-10","23.81","0.894","87.77","18.68"
"10","0.4","1000000000000000","0.05","5.63E-10","28.16","0.875","87.29","21.52"
"20","0.4","1000000000000000","0.05","6.69E-10","33.45","0.860","86.80","24.98"
"30","0.4","1000000000000000","0.05","7.31E-10","36.57","0.849","86.93","27.00"
"50","0.4","1000000000000000","0.05","8.04E-10","40.18","0.840","86.36","29.14"
"70","0.4","1000000000000000","0.05","8.46E-10","42.32","0.830","86.55","30.41"
"100","0.4","1000000000000000","0.05","8.88E-10","44.42","0.823","86.30","31.55"
"2","0.4","1.0E+16","0.05","3.96E-10","19.80","0.923","88.02","16.09"
"3","0.4","1.0E+16","0.05","4.23E-10","21.16","0.907","87.58","16.82"
"4","0.4","1.0E+16","0.05","4.47E-10","22.35","0.902","87.30","17.60"
"5","0.4","1.0E+16","0.05","4.75E-10","23.73","0.892","87.77","18.58"
"10","0.4","1.0E+16","0.05","5.62E-10","28.09","0.872","87.13","21.33"
"20","0.4","1.0E+16","0.05","6.68E-10","33.39","0.856","86.48","24.70"
"30","0.4","1.0E+16","0.05","7.30E-10","36.52","0.846","86.32","26.65"
"50","0.4","1.0E+16","0.05","8.03E-10","40.15","0.834","86.00","28.78"
"70","0.4","1.0E+16","0.05","8.46E-10","42.29","0.825","85.78","29.94"
"100","0.4","1.0E+16","0.05","8.88E-10","44.40","0.818","85.44","31.01"
"2","0.4","1.0E+17","0.05","3.80E-10","18.99","0.910","87.83","15.18"
"3","0.4","1.0E+17","0.05","4.07E-10","20.37","0.893","87.11","15.84"
"4","0.4","1.0E+17","0.05","4.32E-10","21.59","0.901","87.22","16.98"
"5","0.4","1.0E+17","0.05","4.61E-10","23.04","0.883","87.31","17.77"
"10","0.4","1.0E+17","0.05","5.50E-10","27.52","0.849","85.63","20.01"
"20","0.4","1.0E+17","0.05","6.59E-10","32.96","0.828","84.67","23.11"
"30","0.4","1.0E+17","0.05","7.23E-10","36.16","0.817","84.49","24.97"
"50","0.4","1.0E+17","0.05","7.97E-10","39.86","0.802","84.17","26.91"
"70","0.4","1.0E+17","0.05","8.41E-10","42.05","0.791","83.96","27.94"
"100","0.4","1.0E+17","0.05","8.84E-10","44.20","0.782","83.66","28.91"
"2","0.4","1.0E+18","0.05","3.33E-10","16.63","0.866","86.94","12.52"
"3","0.4","1.0E+18","0.05","3.59E-10","17.96","0.905","87.36","14.20"
"4","0.4","1.0E+18","0.05","3.89E-10","19.43","0.897","87.02","15.16"
"5","0.4","1.0E+18","0.05","4.20E-10","20.98","0.841","85.82","15.14"
"10","0.4","1.0E+18","0.05","5.16E-10","25.81","0.786","84.05","17.05"
"20","0.4","1.0E+18","0.05","6.33E-10","31.65","0.762","83.49","20.13"
"30","0.4","1.0E+18","0.05","7.01E-10","35.07","0.748","83.55","21.92"
"50","0.4","1.0E+18","0.05","7.80E-10","39.02","0.733","83.34","23.82"
"70","0.4","1.0E+18","0.05","8.27E-10","41.34","0.723","82.76","24.73"
"100","0.4","1.0E+18","0.05","8.72E-10","43.61","0.712","82.47","25.61"
"2","0.4","1E+19","0.05","3.04E-10","15.18","0.803","85.57","10.43"
"3","0.4","1E+19","0.05","3.31E-10","16.56","0.777","84.79","10.91"
"4","0.4","1E+19","0.05","3.64E-10","18.22","0.760","84.19","11.65"
"5","0.4","1E+19","0.05","3.91E-10","19.57","0.767","84.58","12.69"
"10","0.4","1E+19","0.05","4.93E-10","24.63","0.706","82.59","14.35"
"20","0.4","1E+19","0.05","6.15E-10","30.75","0.687","82.01","17.32"
"30","0.4","1E+19","0.05","6.87E-10","34.33","0.677","81.68","18.99"
"50","0.4","1E+19","0.05","7.69E-10","38.45","0.663","80.93","20.64"
"70","0.4","1E+19","0.05","8.17E-10","40.85","0.654","80.37","21.47"
"100","0.4","1E+19","0.05","8.64E-10","43.18","0.644","78.78","21.92"
"2","0.4","1000000000000","0.1","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","1000000000000","0.1","4.26E-10","21.28","0.910","87.63","16.96"
"4","0.4","1000000000000","0.1","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","1000000000000","0.1","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","1000000000000","0.1","5.63E-10","28.17","0.876","87.30","21.54"
"20","0.4","1000000000000","0.1","6.69E-10","33.45","0.861","86.91","25.02"
"30","0.4","1000000000000","0.1","7.31E-10","36.57","0.850","86.99","27.04"
"50","0.4","1000000000000","0.1","8.04E-10","40.18","0.840","86.51","29.21"
"70","0.4","1000000000000","0.1","8.46E-10","42.32","0.831","86.63","30.47"
"100","0.4","1000000000000","0.1","8.89E-10","44.43","0.823","86.45","31.63"
"2","0.4","10000000000000","0.1","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","10000000000000","0.1","4.24E-10","21.21","0.911","87.49","16.90"
"4","0.4","10000000000000","0.1","4.54E-10","22.71","0.902","88.10","18.04"
"5","0.4","10000000000000","0.1","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","10000000000000","0.1","5.63E-10","28.17","0.876","87.29","21.53"
"20","0.4","10000000000000","0.1","6.69E-10","33.45","0.861","86.89","25.01"
"30","0.4","10000000000000","0.1","7.31E-10","36.57","0.850","86.98","27.04"
"50","0.4","10000000000000","0.1","8.04E-10","40.18","0.840","86.48","29.20"
"70","0.4","10000000000000","0.1","8.46E-10","42.32","0.831","86.61","30.46"
"100","0.4","10000000000000","0.1","8.89E-10","44.43","0.823","86.42","31.61"
"2","0.4","100000000000000","0.1","3.98E-10","19.91","0.925","88.11","16.22"
"3","0.4","100000000000000","0.1","4.24E-10","21.20","0.911","87.49","16.90"
"4","0.4","100000000000000","0.1","4.54E-10","22.70","0.902","88.08","18.04"
"5","0.4","100000000000000","0.1","4.76E-10","23.82","0.894","87.76","18.68"
"10","0.4","100000000000000","0.1","5.63E-10","28.17","0.875","87.26","21.51"
"20","0.4","100000000000000","0.1","6.69E-10","33.45","0.860","86.72","24.95"
"30","0.4","100000000000000","0.1","7.31E-10","36.57","0.849","86.86","26.98"
"50","0.4","100000000000000","0.1","8.04E-10","40.18","0.840","86.23","29.09"
"70","0.4","100000000000000","0.1","8.46E-10","42.32","0.830","86.44","30.37"
"100","0.4","100000000000000","0.1","8.89E-10","44.43","0.823","86.12","31.47"
"2","0.4","1000000000000000","0.1","3.98E-10","19.88","0.924","88.06","16.18"
"3","0.4","1000000000000000","0.1","4.24E-10","21.18","0.911","87.49","16.88"
"4","0.4","1000000000000000","0.1","4.54E-10","22.68","0.901","87.85","17.95"
"5","0.4","1000000000000000","0.1","4.76E-10","23.80","0.892","87.71","18.63"
"10","0.4","1000000000000000","0.1","5.63E-10","28.15","0.872","86.85","21.30"
"20","0.4","1000000000000000","0.1","6.69E-10","33.44","0.854","86.04","24.58"
"30","0.4","1000000000000000","0.1","7.31E-10","36.56","0.844","85.54","26.40"
"50","0.4","1000000000000000","0.1","8.03E-10","40.17","0.831","85.26","28.47"
"70","0.4","1000000000000000","0.1","8.46E-10","42.31","0.823","84.76","29.52"
"100","0.4","1000000000000000","0.1","8.88E-10","44.42","0.814","84.54","30.56"
"2","0.4","1.0E+16","0.1","3.93E-10","19.64","0.918","87.60","15.79"
"3","0.4","1.0E+16","0.1","4.19E-10","20.93","0.910","87.49","16.67"
"4","0.4","1.0E+16","0.1","4.44E-10","22.20","0.902","87.27","17.47"
"5","0.4","1.0E+16","0.1","4.72E-10","23.59","0.883","86.71","18.05"
"10","0.4","1.0E+16","0.1","5.59E-10","27.97","0.846","84.44","19.98"
"20","0.4","1.0E+16","0.1","6.66E-10","33.30","0.821","83.23","22.76"
"30","0.4","1.0E+16","0.1","7.29E-10","36.45","0.806","83.06","24.40"
"50","0.4","1.0E+16","0.1","8.02E-10","40.09","0.788","82.60","26.10"
"70","0.4","1.0E+16","0.1","8.45E-10","42.24","0.777","81.97","26.91"
"100","0.4","1.0E+16","0.1","8.87E-10","44.36","0.764","81.59","27.66"
"2","0.4","1.0E+17","0.1","3.63E-10","18.14","0.883","87.05","13.94"
"3","0.4","1.0E+17","0.1","3.89E-10","19.45","0.908","87.44","15.43"
"4","0.4","1.0E+17","0.1","4.16E-10","20.81","0.900","86.97","16.28"
"5","0.4","1.0E+17","0.1","4.46E-10","22.31","0.834","85.44","15.90"
"10","0.4","1.0E+17","0.1","5.38E-10","26.90","0.772","82.47","17.13"
"20","0.4","1.0E+17","0.1","6.50E-10","32.48","0.742","81.38","19.62"
"30","0.4","1.0E+17","0.1","7.15E-10","35.76","0.727","81.21","21.11"
"50","0.4","1.0E+17","0.1","7.91E-10","39.55","0.709","80.64","22.60"
"70","0.4","1.0E+17","0.1","8.36E-10","41.78","0.698","80.03","23.32"
"100","0.4","1.0E+17","0.1","8.79E-10","43.96","0.685","79.26","23.86"
"2","0.4","1.0E+18","0.1","3.17E-10","15.83","0.820","85.57","11.11"
"3","0.4","1.0E+18","0.1","3.45E-10","17.23","0.781","84.65","11.39"
"4","0.4","1.0E+18","0.1","3.78E-10","18.89","0.750","84.12","11.92"
"5","0.4","1.0E+18","0.1","4.04E-10","20.19","0.746","83.63","12.61"
"10","0.4","1.0E+18","0.1","5.03E-10","25.13","0.677","78.63","13.38"
"20","0.4","1.0E+18","0.1","6.22E-10","31.12","0.659","78.23","16.05"
"30","0.4","1.0E+18","0.1","6.92E-10","34.62","0.648","78.09","17.51"
"50","0.4","1.0E+18","0.1","7.72E-10","38.62","0.634","76.73","18.77"
"70","0.4","1.0E+18","0.1","8.16E-10","40.80","0.624","75.12","19.12"
"100","0.4","1.0E+18","0.1","8.44E-10","42.20","0.612","71.73","18.52"
"2","0.4","1E+19","0.1","2.95E-10","14.75","0.704","83.41","8.67"
"3","0.4","1E+19","0.1","3.21E-10","16.06","0.641","81.45","8.39"
"4","0.4","1E+19","0.1","3.59E-10","17.93","0.748","82.04","11.01"
"5","0.4","1E+19","0.1","3.85E-10","19.26","0.780","80.86","12.15"
"10","0.4","1E+19","0.1","4.84E-10","24.18","0.589","75.38","10.74"
"20","0.4","1E+19","0.1","6.07E-10","30.36","0.582","74.06","13.08"
"30","0.4","1E+19","0.1","6.73E-10","33.63","0.573","71.67","13.81"
"50","0.4","1E+19","0.1","6.91E-10","34.54","0.558","65.79","12.67"
"70","0.4","1E+19","0.1","5.99E-10","29.93","0.542","61.07","9.91"
"100","0.4","1E+19","0.1","4.03E-10","20.15","0.521","57.62","6.05"
"2","0.4","1000000000000","0.15","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","1000000000000","0.15","4.26E-10","21.28","0.910","87.63","16.96"
"4","0.4","1000000000000","0.15","4.54E-10","22.71","0.902","88.10","18.04"
"5","0.4","1000000000000","0.15","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","1000000000000","0.15","5.63E-10","28.17","0.876","87.30","21.54"
"20","0.4","1000000000000","0.15","6.69E-10","33.45","0.861","86.91","25.02"
"30","0.4","1000000000000","0.15","7.31E-10","36.57","0.850","86.99","27.04"
"50","0.4","1000000000000","0.15","8.04E-10","40.18","0.840","86.50","29.21"
"70","0.4","1000000000000","0.15","8.46E-10","42.32","0.831","86.62","30.46"
"100","0.4","1000000000000","0.15","8.89E-10","44.43","0.823","86.44","31.62"
"2","0.4","10000000000000","0.15","3.98E-10","19.91","0.925","88.12","16.22"
"3","0.4","10000000000000","0.15","4.24E-10","21.21","0.911","87.49","16.90"
"4","0.4","10000000000000","0.15","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","10000000000000","0.15","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","10000000000000","0.15","5.63E-10","28.17","0.876","87.28","21.53"
"20","0.4","10000000000000","0.15","6.69E-10","33.45","0.861","86.85","25.00"
"30","0.4","10000000000000","0.15","7.31E-10","36.57","0.850","86.95","27.02"
"50","0.4","10000000000000","0.15","8.04E-10","40.18","0.840","86.41","29.17"
"70","0.4","10000000000000","0.15","8.46E-10","42.32","0.831","86.56","30.43"
"100","0.4","10000000000000","0.15","8.89E-10","44.43","0.823","86.34","31.57"
"2","0.4","100000000000000","0.15","3.98E-10","19.91","0.925","88.11","16.22"
"3","0.4","100000000000000","0.15","4.24E-10","21.20","0.911","87.49","16.90"
"4","0.4","100000000000000","0.15","4.49E-10","22.45","0.902","87.31","17.69"
"5","0.4","100000000000000","0.15","4.76E-10","23.82","0.893","87.75","18.67"
"10","0.4","100000000000000","0.15","5.63E-10","28.16","0.875","87.16","21.47"
"20","0.4","100000000000000","0.15","6.69E-10","33.45","0.859","86.43","24.84"
"30","0.4","100000000000000","0.15","7.31E-10","36.57","0.848","86.52","26.83"
"50","0.4","100000000000000","0.15","8.04E-10","40.18","0.837","85.94","28.92"
"70","0.4","100000000000000","0.15","8.46E-10","42.32","0.828","85.92","30.12"
"100","0.4","100000000000000","0.15","8.89E-10","44.43","0.821","85.30","31.12"
"2","0.4","1000000000000000","0.15","3.97E-10","19.86","0.923","87.99","16.13"
"3","0.4","1000000000000000","0.15","4.25E-10","21.23","0.906","87.47","16.83"
"4","0.4","1000000000000000","0.15","4.48E-10","22.41","0.902","87.30","17.65"
"5","0.4","1000000000000000","0.15","4.76E-10","23.78","0.890","87.52","18.52"
"10","0.4","1000000000000000","0.15","5.63E-10","28.13","0.865","85.58","20.83"
"20","0.4","1000000000000000","0.15","6.68E-10","33.42","0.845","84.43","23.85"
"30","0.4","1000000000000000","0.15","7.31E-10","36.55","0.833","83.85","25.54"
"50","0.4","1000000000000000","0.15","8.03E-10","40.17","0.819","83.13","27.35"
"70","0.4","1000000000000000","0.15","8.46E-10","42.30","0.808","82.81","28.29"
"100","0.4","1000000000000000","0.15","8.87E-10","44.35","0.825","85.69","31.34"
"2","0.4","1.0E+16","0.15","3.89E-10","19.46","0.909","87.70","15.51"
"3","0.4","1.0E+16","0.15","4.17E-10","20.83","0.886","86.75","16.00"
"4","0.4","1.0E+16","0.15","4.41E-10","22.03","0.902","87.23","17.33"
"5","0.4","1.0E+16","0.15","4.69E-10","23.44","0.866","85.94","17.44"
"10","0.4","1.0E+16","0.15","5.57E-10","27.84","0.816","82.82","18.82"
"20","0.4","1.0E+16","0.15","6.64E-10","33.20","0.784","81.61","21.25"
"30","0.4","1.0E+16","0.15","7.27E-10","36.36","0.767","81.48","22.73"
"50","0.4","1.0E+16","0.15","8.00E-10","40.02","0.747","80.98","24.20"
"70","0.4","1.0E+16","0.15","8.43E-10","42.17","0.734","80.33","24.86"
"100","0.4","1.0E+16","0.15","8.86E-10","44.29","0.721","79.39","25.35"
"2","0.4","1.0E+17","0.15","3.50E-10","17.52","0.863","86.65","13.11"
"3","0.4","1.0E+17","0.15","3.77E-10","18.84","0.905","87.31","14.89"
"4","0.4","1.0E+17","0.15","4.05E-10","20.25","0.895","86.94","15.76"
"5","0.4","1.0E+17","0.15","4.35E-10","21.76","0.798","84.38","14.65"
"10","0.4","1.0E+17","0.15","5.29E-10","26.43","0.723","79.86","15.26"
"20","0.4","1.0E+17","0.15","6.42E-10","32.11","0.695","78.80","17.59"
"30","0.4","1.0E+17","0.15","7.09E-10","35.44","0.682","78.70","19.03"
"50","0.4","1.0E+17","0.15","7.86E-10","39.28","0.665","78.16","20.41"
"70","0.4","1.0E+17","0.15","8.30E-10","41.49","0.654","77.17","20.93"
"100","0.4","1.0E+17","0.15","8.69E-10","43.44","0.642","75.43","21.04"
"2","0.4","1.0E+18","0.15","3.09E-10","15.45","0.787","85.25","10.37"
"3","0.4","1.0E+18","0.15","3.36E-10","16.80","0.724","83.69","10.18"
"4","0.4","1.0E+18","0.15","3.69E-10","18.43","0.681","81.92","10.28"
"5","0.4","1.0E+18","0.15","3.95E-10","19.74","0.831","82.88","13.59"
"10","0.4","1.0E+18","0.15","4.95E-10","24.75","0.623","75.64","11.67"
"20","0.4","1.0E+18","0.15","6.16E-10","30.81","0.612","75.51","14.23"
"30","0.4","1.0E+18","0.15","6.85E-10","34.24","0.604","74.57","15.43"
"50","0.4","1.0E+18","0.15","7.43E-10","37.16","0.591","71.59","15.72"
"70","0.4","1.0E+18","0.15","7.31E-10","36.56","0.661","73.26","17.71"
"100","0.4","1.0E+18","0.15","6.05E-10","30.25","0.564","63.54","10.84"
"2","0.4","1E+19","0.15","2.92E-10","14.60","0.596","79.63","6.92"
"3","0.4","1E+19","0.15","3.18E-10","15.90","0.552","74.15","6.51"
"4","0.4","1E+19","0.15","3.49E-10","17.47","0.546","73.40","7.00"
"5","0.4","1E+19","0.15","3.76E-10","18.78","0.575","73.63","7.95"
"10","0.4","1E+19","0.15","4.79E-10","23.94","0.543","71.81","9.33"
"20","0.4","1E+19","0.15","5.66E-10","28.32","0.538","67.82","10.33"
"30","0.4","1E+19","0.15","5.30E-10","26.49","0.526","63.11","8.79"
"50","0.4","1E+19","0.15","3.04E-10","15.19","0.497","57.71","4.36"
"70","0.4","1E+19","0.15","1.56E-10","7.78","0.469","56.58","2.06"
"100","0.4","1E+19","0.15","1.07E-10","5.33","0.548","64.77","1.89"
"2","0.4","1000000000000","0.2","3.98E-10","19.91","0.925","88.12","16.23"
"3","0.4","1000000000000","0.2","4.26E-10","21.28","0.910","87.63","16.96"
"4","0.4","1000000000000","0.2","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","1000000000000","0.2","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","1000000000000","0.2","5.63E-10","28.17","0.876","87.29","21.54"
"20","0.4","1000000000000","0.2","6.69E-10","33.45","0.861","86.90","25.02"
"30","0.4","1000000000000","0.2","7.31E-10","36.57","0.850","86.98","27.04"
"50","0.4","1000000000000","0.2","8.04E-10","40.18","0.840","86.49","29.20"
"70","0.4","1000000000000","0.2","8.46E-10","42.32","0.831","86.61","30.46"
"100","0.4","1000000000000","0.2","8.89E-10","44.43","0.823","86.43","31.62"
"2","0.4","10000000000000","0.2","3.98E-10","19.91","0.925","88.12","16.22"
"3","0.4","10000000000000","0.2","4.25E-10","21.27","0.910","87.62","16.96"
"4","0.4","10000000000000","0.2","4.49E-10","22.46","0.902","87.31","17.69"
"5","0.4","10000000000000","0.2","4.76E-10","23.82","0.894","87.77","18.69"
"10","0.4","10000000000000","0.2","5.63E-10","28.17","0.876","87.27","21.52"
"20","0.4","10000000000000","0.2","6.69E-10","33.45","0.860","86.79","24.98"
"30","0.4","10000000000000","0.2","7.31E-10","36.57","0.850","86.90","27.00"
"50","0.4","10000000000000","0.2","8.04E-10","40.18","0.840","86.31","29.13"
"70","0.4","10000000000000","0.2","8.46E-10","42.32","0.830","86.48","30.40"
"100","0.4","10000000000000","0.2","8.89E-10","44.43","0.823","86.21","31.52"
"2","0.4","100000000000000","0.2","3.98E-10","19.91","0.924","88.10","16.21"
"3","0.4","100000000000000","0.2","4.25E-10","21.27","0.909","87.60","16.94"
"4","0.4","100000000000000","0.2","4.49E-10","22.45","0.902","87.31","17.69"
"5","0.4","100000000000000","0.2","4.76E-10","23.81","0.893","87.73","18.66"
"10","0.4","100000000000000","0.2","5.63E-10","28.16","0.874","87.01","21.40"
"20","0.4","100000000000000","0.2","6.69E-10","33.45","0.857","86.20","24.72"
"30","0.4","100000000000000","0.2","7.31E-10","36.57","0.847","86.01","26.63"
"50","0.4","100000000000000","0.2","8.04E-10","40.18","0.835","85.50","28.68"
"70","0.4","100000000000000","0.2","8.46E-10","42.32","0.826","85.13","29.76"
"100","0.4","100000000000000","0.2","8.88E-10","44.42","0.819","84.66","30.79"
"2","0.4","1000000000000000","0.2","3.97E-10","19.84","0.922","87.89","16.08"
"3","0.4","1000000000000000","0.2","4.23E-10","21.13","0.911","87.49","16.84"
"4","0.4","1000000000000000","0.2","4.48E-10","22.39","0.902","87.29","17.63"
"5","0.4","1000000000000000","0.2","4.75E-10","23.76","0.887","87.21","18.38"
